A009,A008,S020,X002,X003,X001,X051,E033,B008,S012,S003,COW_NUM,A165,A170,A173,X002_02,X002_02A,X002_02B,X002_03,X003R,X003R2,country_code,age,sex,cohort,health,happy,year
4,2,1982,1942,40,1,-4,8,-4,-4,840,2,1,7,7,-4,-4,-4,-4,3,2,840,40,1,1942,2,3,1982
5,3,1982,1939,43,2,-4,-1,-4,-4,840,2,2,1,4,-4,-4,-4,-4,3,2,840,43,2,1939,1,2,1982
1,2,1982,1964,18,1,-4,10,-4,-4,840,2,2,8,8,-4,-4,-4,-4,1,1,840,18,1,1964,5,3,1982
2,2,1982,1964,18,2,-4,-1,-4,-4,840,2,2,3,2,-4,-4,-4,-4,1,1,840,18,2,1964,4,3,1982
2,3,1982,1960,22,1,-4,-1,-4,-4,840,2,2,5,1,-4,-4,-4,-4,1,1,840,22,1,1960,4,2,1982
1,1,1982,1961,21,1,-4,4,-4,-4,840,2,1,7,8,-4,-4,-4,-4,1,1,840,21,1,1961,5,4,1982
1,3,1982,1945,37,1,-4,8,-4,-4,840,2,2,6,8,-4,-4,-4,-4,3,2,840,37,1,1945,5,2,1982
4,2,1982,1937,45,2,-4,5,-4,-4,840,2,1,10,9,-4,-4,-4,-4,4,2,840,45,2,1937,2,3,1982
1,2,1982,1952,30,2,-4,-1,-4,-4,840,2,1,8,8,-4,-4,-4,-4,2,2,840,30,2,1952,5,3,1982
2,2,1982,1910,72,2,-4,2,-4,-4,840,2,2,7,8,-4,-4,-4,-4,6,3,840,72,2,1910,4,3,1982
2,2,1982,1960,22,1,-4,-1,-4,-4,840,2,1,5,9,-4,-4,-4,-4,1,1,840,22,1,1960,4,3,1982
3,2,1982,1935,47,2,-4,7,-4,-4,840,2,2,10,9,-4,-4,-4,-4,4,2,840,47,2,1935,3,3,1982
3,2,1982,1926,56,2,-4,10,-4,-4,840,2,2,10,6,-4,-4,-4,-4,5,3,840,56,2,1926,3,3,1982
3,2,1982,1926,56,1,-4,10,-4,-4,840,2,2,10,5,-4,-4,-4,-4,5,3,840,56,1,1926,3,3,1982
4,3,1982,1910,72,1,-4,10,-4,-4,840,2,2,8,6,-4,-4,-4,-4,6,3,840,72,1,1910,2,2,1982
3,-1,1982,1957,25,2,-4,8,-4,-4,840,2,2,2,1,-4,-4,-4,-4,2,1,840,25,2,1957,3,6,1982
3,2,1982,1922,60,2,-4,5,-4,-4,840,2,2,10,8,-4,-4,-4,-4,5,3,840,60,2,1922,3,3,1982
3,3,1982,1925,57,1,-4,7,-4,-4,840,2,2,5,8,-4,-4,-4,-4,5,3,840,57,1,1925,3,2,1982
1,1,1982,1948,34,1,-4,5,-4,-4,840,2,1,10,8,-4,-4,-4,-4,2,2,840,34,1,1948,5,4,1982
3,-1,1982,1954,28,1,-4,-1,-4,-4,840,2,2,5,3,-4,-4,-4,-4,2,1,840,28,1,1954,3,6,1982
