year,cohort,age,health,sex,happy,life,educ,polviews,class,satfin
1972,1949,23,2,2,3,NA,16,NA,3,3
1972,1902,70,3,1,3,NA,10,NA,3,2
1972,1924,48,1,2,2,NA,12,NA,2,1
1972,1945,27,2,2,3,NA,17,NA,3,3
1972,1911,61,2,2,2,NA,12,NA,2,1
1972,1946,26,2,1,2,NA,14,NA,3,2
1972,1944,28,1,1,3,NA,13,NA,3,2
1972,1945,27,2,1,3,NA,16,NA,2,3
1972,1951,21,1,2,2,NA,12,NA,2,2
1972,1942,30,3,2,2,NA,12,NA,2,3
1972,1942,30,2,2,2,NA,13,NA,2,3
1972,1916,56,3,1,2,NA,6,NA,2,1
1972,1918,54,1,1,2,NA,9,NA,2,1
1972,1923,49,2,2,3,NA,8,NA,2,2
1972,1931,41,1,1,1,NA,9,NA,3,1
1972,1918,54,2,1,3,NA,14,NA,2,2
1972,1948,24,3,1,1,NA,14,NA,2,1
1972,1910,62,3,2,1,NA,8,NA,3,1
1972,1926,46,1,2,1,NA,17,NA,3,2
1972,1951,21,2,2,1,NA,14,NA,3,1
1972,1915,57,2,1,1,NA,12,NA,3,1
1972,1914,58,2,1,1,NA,11,NA,4,1
1972,1951,21,2,1,1,NA,13,NA,2,1
1972,1946,26,2,2,1,NA,12,NA,2,3
1972,1901,71,1,2,2,NA,16,NA,3,1
1972,1919,53,1,2,1,NA,12,NA,2,1
1972,1930,42,1,1,2,NA,12,NA,2,2
1972,1930,42,2,2,2,NA,12,NA,2,2
1972,1952,20,1,1,2,NA,12,NA,3,2
1972,1949,23,3,1,2,NA,9,NA,3,2
1972,1946,26,2,1,2,NA,6,NA,2,2
1972,1947,25,1,2,1,NA,14,NA,2,3
1972,1946,26,1,1,2,NA,16,NA,3,1
1972,1894,78,1,2,1,NA,8,NA,3,1
1972,1951,21,2,1,1,NA,12,NA,2,1
1972,1945,27,1,1,3,NA,14,NA,2,2
1972,1914,58,1,2,1,NA,13,NA,3,1
1972,1937,35,2,2,2,NA,10,NA,2,1
1972,1914,58,3,1,3,NA,6,NA,3,1
1972,1921,51,2,2,2,NA,12,NA,2,2
1972,1896,76,1,2,1,NA,8,NA,3,1
1972,1919,53,3,1,3,NA,14,NA,2,3
1972,1933,39,2,1,2,NA,8,NA,2,1
1972,1908,64,2,2,1,NA,8,NA,2,1
1972,1922,50,2,2,2,NA,8,NA,2,2
1972,1945,27,1,2,1,NA,12,NA,2,1
1972,1947,25,2,1,2,NA,14,NA,3,1
1972,1923,49,2,1,2,NA,12,NA,3,1
1972,1932,40,1,1,1,NA,9,NA,2,2
1972,1929,43,2,1,2,NA,8,NA,2,2
1972,1926,46,2,1,2,NA,10,NA,2,3
