year,trust,sex,age,partyid,wrkstat,happy,degree,realinc,health,life,satfin,polviews,educ
1972,3,2,23,2,1,3,3,18951,2,NA,3,NA,16
1972,1,1,70,1,5,3,0,24366,3,NA,2,NA,10
1972,2,2,48,3,2,2,1,24366,1,NA,1,NA,12
1972,2,2,27,1,1,3,3,30458,2,NA,3,NA,17
1972,2,2,61,0,7,2,1,50763,2,NA,1,NA,12
1972,1,1,26,2,1,2,1,43994,2,NA,2,NA,14
1972,2,1,28,2,1,3,1,37226,1,NA,2,NA,13
1972,1,1,27,2,1,3,3,13537,2,NA,3,NA,16
1972,2,2,21,0,2,2,1,2707,1,NA,2,NA,12
1972,2,2,30,0,1,2,1,18951,3,NA,3,NA,12
1972,NA,2,30,0,7,2,1,13537,2,NA,3,NA,13
1972,2,1,56,5,1,2,0,13537,3,NA,1,NA,6
1972,2,1,54,0,1,2,0,13537,1,NA,1,NA,9
1972,2,2,49,1,1,3,0,13537,2,NA,2,NA,8
1972,1,1,41,0,1,1,0,18951,1,NA,1,NA,9
1972,2,1,54,0,1,3,1,13537,2,NA,2,NA,14
1972,1,1,24,4,6,1,1,24366,3,NA,1,NA,14
1972,2,2,62,4,7,1,0,18951,3,NA,1,NA,8
1972,1,2,46,2,1,1,3,43994,1,NA,2,NA,17
1972,2,2,21,4,6,1,1,50763,2,NA,1,NA,14
1972,2,1,57,2,1,1,1,37226,2,NA,1,NA,12
1972,1,1,58,1,1,1,1,60915,2,NA,1,NA,11
1972,1,1,21,2,1,1,1,13537,2,NA,1,NA,13
1972,1,2,26,4,7,1,1,18951,2,NA,3,NA,12
1972,1,2,71,6,7,2,3,30458,1,NA,1,NA,16
1972,1,2,53,4,1,1,1,30458,1,NA,1,NA,12
1972,1,1,42,3,1,2,1,30458,1,NA,2,NA,12
1972,1,2,42,2,1,2,1,30458,2,NA,2,NA,12
1972,1,1,20,3,1,2,1,NA,1,NA,2,NA,12
1972,1,1,23,5,1,2,0,30458,3,NA,2,NA,9
1972,2,1,26,6,1,2,0,24366,2,NA,2,NA,6
1972,1,2,25,4,2,1,1,24366,1,NA,3,NA,14
1972,2,1,26,0,4,2,3,30458,1,NA,1,NA,16
1972,NA,2,78,5,7,1,0,2707,1,NA,1,NA,8
1972,2,1,21,2,3,1,1,13537,2,NA,1,NA,12
1972,1,1,27,1,1,3,1,30458,1,NA,2,NA,14
1972,1,2,58,5,7,1,1,50763,1,NA,1,NA,13
1972,1,2,35,1,7,2,0,30458,2,NA,1,NA,10
1972,2,1,58,6,2,3,0,18951,3,NA,1,NA,6
1972,1,2,51,5,1,2,1,13537,2,NA,2,NA,12
1972,1,2,76,0,7,1,0,2707,1,NA,1,NA,8
1972,2,1,53,5,1,3,1,30458,3,NA,3,NA,14
1972,2,1,39,4,1,2,0,13537,2,NA,1,NA,8
1972,1,2,64,2,7,1,0,18951,2,NA,1,NA,8
