S003,COUNTRY_ALPHA,COW_NUM,COW_ALPHA,S012,S001,S022,S023,X003,X001,X002,S020,A009,A008,year,year2,country_code,age,sex,cohort,health,happy
840,USA,2,USA,-4,2,199509,199512,44,1,1951,1995,2,1,1995,1995,840,44,1,1951,4,4
840,USA,2,USA,-4,2,199509,199512,40,2,1955,1995,1,1,1995,1995,840,40,2,1955,5,4
840,USA,2,USA,-4,2,199509,199512,43,1,1951,1995,3,2,1995,1995,840,43,1,1951,3,3
840,USA,2,USA,-4,2,199509,199512,36,2,1959,1995,1,1,1995,1995,840,36,2,1959,5,4
840,USA,2,USA,-4,2,199509,199512,25,2,1970,1995,1,1,1995,1995,840,25,2,1970,5,4
840,USA,2,USA,-4,2,199509,199512,39,1,1956,1995,2,2,1995,1995,840,39,1,1956,4,3
840,USA,2,USA,-4,2,199509,199512,80,2,1915,1995,3,1,1995,1995,840,80,2,1915,3,4
840,USA,2,USA,-4,2,199509,199512,48,2,1946,1995,1,1,1995,1995,840,48,2,1946,5,4
840,USA,2,USA,-4,2,199509,199512,93,2,1902,1995,1,2,1995,1995,840,93,2,1902,5,3
840,USA,2,USA,-4,2,199509,199512,32,1,1963,1995,1,1,1995,1995,840,32,1,1963,5,4
840,USA,2,USA,-4,2,199509,199512,74,2,1921,1995,3,1,1995,1995,840,74,2,1921,3,4
840,USA,2,USA,-4,2,199509,199512,30,1,1965,1995,1,1,1995,1995,840,30,1,1965,5,4
840,USA,2,USA,-4,2,199509,199512,32,2,1963,1995,1,1,1995,1995,840,32,2,1963,5,4
840,USA,2,USA,-4,2,199509,199512,74,2,1921,1995,2,2,1995,1995,840,74,2,1921,4,3
840,USA,2,USA,-4,2,199509,199512,48,1,1946,1995,2,1,1995,1995,840,48,1,1946,4,4
840,USA,2,USA,-4,2,199509,199512,42,1,1952,1995,3,1,1995,1995,840,42,1,1952,3,4
840,USA,2,USA,-4,2,199509,199512,28,2,1967,1995,1,1,1995,1995,840,28,2,1967,5,4
840,USA,2,USA,-4,2,199509,199512,70,2,1925,1995,1,1,1995,1995,840,70,2,1925,5,4
840,USA,2,USA,-4,2,199509,199512,36,2,1959,1995,3,2,1995,1995,840,36,2,1959,3,3
840,USA,2,USA,-4,2,199509,199512,49,1,1945,1995,3,2,1995,1995,840,49,1,1945,3,3
840,USA,2,USA,-4,2,199509,199512,38,2,1957,1995,2,1,1995,1995,840,38,2,1957,4,4
840,USA,2,USA,-4,2,199509,199512,79,2,1916,1995,2,1,1995,1995,840,79,2,1916,4,4
840,USA,2,USA,-4,2,199509,199512,59,1,1936,1995,1,2,1995,1995,840,59,1,1936,5,3
840,USA,2,USA,-4,2,199509,199512,50,2,1945,1995,1,1,1995,1995,840,50,2,1945,5,4
840,USA,2,USA,-4,2,199509,199512,-1,1,1921,1995,2,1,1995,1995,840,-1,1,1921,4,4
840,USA,2,USA,-4,2,199509,199512,68,1,1927,1995,2,2,1995,1995,840,68,1,1927,4,3
840,USA,2,USA,-4,2,199509,199512,35,2,1960,1995,2,2,1995,1995,840,35,2,1960,4,3
840,USA,2,USA,-4,2,199509,199512,76,1,1918,1995,3,1,1995,1995,840,76,1,1918,3,4
840,USA,2,USA,-4,2,199509,199512,62,2,1932,1995,3,1,1995,1995,840,62,2,1932,3,4
840,USA,2,USA,-4,2,199509,199512,80,2,1915,1995,3,3,1995,1995,840,80,2,1915,3,2
840,USA,2,USA,-4,2,199509,199512,18,1,1977,1995,3,2,1995,1995,840,18,1,1977,3,3
840,USA,2,USA,-4,2,199509,199512,50,2,1945,1995,3,1,1995,1995,840,50,2,1945,3,4
